Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
47.254.69.198,170009,/MagicBean:2.1.1-1/,847281,5,1590696991,1590696991.358
3.91.227.122,170009,/MagicBean:2.1.1-1(bitcore)/,847281,5,1590697004,1590697004.102
94.130.239.15,170010,/MagicBean:2.1.2/,847281,5,1590697010,1590697010.652
176.57.55.43,170010,/MagicBean:2.1.2-3/,847281,5,1590697011,1590697011.526
120.78.209.151,170010,/MagicBean:2.1.2/,847281,5,1590697012,1590697012.179
35.246.238.163,170009,/MagicBean:2.1.1-1/,847281,5,1590697012,1590697012.957
141.20.33.71,170011,/MagicBean:3.0.0-rc1/,847281,5,1590697013,1590697013.467
51.79.57.29,170010,/MagicBean:2.1.2-3/,847281,5,1590697014,1590697014.226
89.234.183.220,170009,/MagicBean:2.1.1-1/,847281,5,1590697026,1590697026.271
159.89.147.156,170009,/MagicBean:2.1.1-1/,847281,5,1590697027,1590697027.156
213.227.145.69,170010,/MagicBean:2.1.2-3/,847281,5,1590697027,1590697027.936
37.59.32.10,170010,/MagicBean:2.1.2-3/,847281,5,1590697029,1590697029.253
47.106.224.223,170010,/MagicBean:2.1.2/,847281,5,1590697029,1590697030.079
104.236.180.231,170011,/MagicBean:3.0.0/,847281,5,1590697031,1590697031.472
80.84.57.38,170009,/MagicBean:2.1.1-1/,847281,5,1590697031,1590697031.975
18.224.34.216,170009,/MagicBean:2.1.1-1/,847281,5,1590697032,1590697032.738
138.197.207.124,170009,/MagicBean:2.1.1-1/,847281,5,1590697033,1590697033.560
194.135.81.61,170009,/MagicBean:2.1.1-1/,847281,5,1590697034,1590697034.593
46.4.192.189,170009,/MagicBean:2.1.1-1/,847281,5,1590697040,1590697040.676
3.23.111.39,170009,/MagicBean:2.1.1-1/,847281,5,1590697041,1590697041.448
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,847281,5,1590697041,1590697041.981
199.217.115.27,170010,/MagicBean:2.1.2-3/,847281,5,1590697043,1590697043.426
173.212.197.63,170009,/MagicBean:2.1.1-1/,847281,5,1590697043,1590697043.971
82.196.7.218,170010,/MagicBean:2.1.2-3/,847281,5,1590697055,1590697055.579
13.231.145.68,170009,/MagicBean:2.1.1-1/,847281,5,1590697067,1590697067.236
142.93.53.185,170010,/MagicBean:2.1.2-3/,847281,5,1590697067,1590697067.979
78.129.149.90,170010,/zqwMagicBean:2.1.2/,847281,5,1590697049,1590697068.533
51.77.64.51,170010,/MagicBean:2.1.2-1/,847281,5,1590697069,1590697069.135
188.166.173.215,170009,/MagicBean:2.1.1-1(bitcore)/,847283,5,1590697075,1590697075.806
144.91.68.191,170009,/MagicBean:2.1.1-1/,847283,5,1590697087,1590697087.428
62.210.55.42,170009,/MagicBean:2.1.1-1/,847283,5,1590697088,1590697089.031
51.75.146.76,170010,/MagicBean:2.1.2-3/,847283,5,1590697090,1590697090.266
167.172.43.123,170009,/MagicBean:2.1.0-1/,301673,5,1590697103,1590697103.412
47.57.153.116,170010,/MagicBean:2.1.2-3/,847283,5,1590697103,1590697103.964
47.252.87.61,170009,/MagicBean:2.1.1-1/,847283,5,1590697105,1590697105.435
167.86.124.94,170009,/MagicBean:2.1.1-1/,847283,5,1590697116,1590697116.998
195.201.11.122,170010,/MagicBean:2.1.2/,847283,5,1590697124,1590697124.338
159.69.65.217,170009,/MagicBean:2.1.1-1/,847283,5,1590697130,1590697130.955
47.244.97.2,170010,/MagicBean:2.1.2/,847283,5,1590697131,1590697131.527
147.135.11.144,170010,/MagicBean:2.1.2-3/,847283,5,1590697133,1590697133.325
3.17.27.246,170009,/MagicBean:2.1.1-1/,847283,5,1590697133,1590697134.009
24.5.47.53,170009,/MagicBean:2.1.1-1/,847283,5,1590697140,1590697140.359
51.89.96.119,170010,/MagicBean:2.1.2-3/,847283,5,1590697140,1590697140.829
188.72.203.159,170009,/MagicBean:2.1.1-1/,847284,5,1590697147,1590697147.950
88.208.3.195,170009,/MagicBean:2.1.1-1/,847284,5,1590697155,1590697155.278
104.195.200.141,170010,/MagicBean:2.1.2/,847285,5,1590697183,1590697183.609
178.63.71.183,170009,/MagicBean:2.1.1-1/,847285,5,1590697185,1590697185.741
5.9.7.62,170009,/MagicBean:2.1.1-1/,847285,5,1590697191,1590697191.855
35.198.119.137,170009,/MagicBean:2.1.1-1/,847285,5,1590697193,1590697193.722
