Peer_IP,Validated_Time
209.250.241.75,1590696984.346
54.36.124.100,1590696990.453
139.59.30.208,1590697069.591
78.46.43.59,1590697089.645
199.247.26.15,1590697104.720
13.244.102.241,1590697370.016
209.250.241.75,1590697592.420
54.36.124.100,1590697624.858
116.202.100.25,1590697704.170
139.59.30.208,1590697762.514
78.46.43.59,1590698068.803
13.244.102.241,1590698080.816
188.165.192.153,1590698382.949
54.36.124.100,1590698510.857
34.222.139.192,1590698576.340
188.165.43.210,1590698669.374
209.250.241.75,1590698801.910
199.247.26.15,1590698821.076
78.46.43.59,1590699131.647
199.247.26.15,1590699500.264
54.36.124.100,1590699529.547
139.59.30.208,1590699599.348
209.250.241.75,1590699639.238
213.133.102.169,1590700432.080
54.144.143.243,1590700498.915
139.59.30.208,1590700680.772
66.70.180.144,1590700684.599
209.250.241.75,1590701056.006
13.244.102.241,1590701410.910
199.247.26.15,1590701949.201
81.90.251.125,1590701975.091
13.244.102.241,1590702443.328
178.73.210.248,1590702470.873
85.15.179.171,1590702983.348
199.247.26.15,1590703161.974
13.244.102.241,1590703733.881
199.247.26.15,1590704177.082
176.74.154.45,1590704868.898
209.250.241.75,1590705097.655
209.124.130.101,1590705200.681
54.36.124.100,1590705730.107
85.25.118.19,1590705741.508
13.244.102.241,1590707534.736
85.25.118.19,1590707837.110
95.179.182.168,1590707864.981
188.165.192.153,1590708069.665
199.247.26.15,1590708314.513
13.244.102.241,1590708362.912
134.122.96.128,1590708419.966
34.222.139.192,1590708546.282
37.187.152.220,1590710544.385
199.247.26.15,1590710914.432
95.179.144.213,1590711764.267
199.247.26.15,1590711930.923
176.74.154.45,1590712021.709
209.250.241.75,1590712081.517
209.250.241.75,1590712984.548
142.4.209.60,1590713316.137
54.149.118.3,1590713649.476
13.244.102.241,1590713651.981
104.248.161.166,1590714089.357
178.73.210.248,1590714168.449
54.36.124.100,1590714874.397
104.238.190.157,1590715266.490
54.201.120.41,1590715403.677
208.68.38.242,1590715424.837
54.149.118.3,1590715897.564
88.99.37.232,1590716235.606
209.124.130.101,1590716338.031
54.36.124.100,1590716852.532
3.10.116.190,1590717512.946
195.177.251.17,1590717603.329
54.36.124.100,1590718884.594
95.179.182.168,1590720045.577
13.127.252.139,1590720158.484
180.97.220.27,1590720225.022
204.228.147.42,1590720919.603
193.70.38.148,1590721848.714
13.244.102.241,1590721883.622
209.250.241.75,1590722075.424
199.247.26.15,1590722901.780
193.70.38.148,1590723048.615
188.165.192.153,1590723511.221
209.124.130.101,1590724527.428
173.249.28.21,1590724533.238
95.179.182.168,1590724798.432
3.10.116.190,1590724880.915
199.247.26.15,1590725215.118
213.133.102.169,1590725264.507
104.195.200.141,1590725730.598
173.249.28.21,1590726291.324
35.221.131.27,1590726530.366
61.160.196.169,1590726996.492
204.228.147.42,1590727332.529
95.179.179.21,1590728458.253
61.160.196.169,1590729409.625
37.235.49.95,1590730569.215
39.107.245.90,1590731358.040
37.235.49.95,1590732616.273
213.133.102.169,1590734592.503
167.172.43.123,1590734884.654
108.51.198.189,1590735399.726
13.244.102.241,1590736312.605
192.241.131.177,1590737065.821
88.90.193.26,1590737967.050
195.177.251.17,1590737970.781
50.228.184.13,1590738161.021
192.71.249.205,1590738492.532
199.247.26.15,1590739222.189
213.239.201.46,1590755794.356
13.231.145.68,1590755794.517
47.252.87.61,1590755794.519
46.4.192.189,1590755794.525
54.38.81.80,1590755794.578
18.220.47.120,1590755794.609
3.22.172.166,1590755794.789
3.23.111.39,1590755794.801
188.72.203.159,1590755794.829
47.254.69.198,1590755794.941
80.84.57.38,1590755794.957
3.17.27.246,1590755794.957
3.19.66.87,1590755794.987
18.182.25.219,1590755795.004
35.173.127.89,1590755795.093
185.165.170.7,1590755795.094
3.91.227.122,1590755795.162
78.46.43.59,1590755795.246
138.197.207.124,1590755795.252
188.166.173.215,1590755795.253
107.191.35.66,1590755795.262
