Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
51.79.57.29,170010,/MagicBean:2.1.2-3/,847280,5,1590696872,1590696872.501
147.135.11.134,170010,/MagicBean:2.1.2-3/,847280,5,1590696873,1590696873.094
81.2.80.52,170010,/MagicBean:2.1.2/,847280,5,1590696884,1590696884.571
120.79.42.119,170010,/MagicBean:2.1.2/,847280,5,1590696885,1590696885.519
104.236.180.231,170011,/MagicBean:3.0.0/,847280,5,1590696891,1590696891.555
159.65.218.179,170009,/MagicBean:2.1.1-1/,847280,5,1590696892,1590696892.065
95.217.78.170,170009,/MagicBean:2.1.1-1/,847280,5,1590696898,1590696898.066
173.255.198.125,170010,/MagicBean:2.1.2-3/,847280,5,1590696898,1590696898.750
3.17.177.157,170009,/MagicBean:2.1.1-1/,847280,5,1590696904,1590696904.815
185.165.170.7,170009,/MagicBean:2.1.1-1/,847280,5,1590696905,1590696905.326
95.216.46.146,170011,/MagicBean:3.0.0/,847280,5,1590696911,1590696911.867
5.79.123.194,170010,/MagicBean:2.1.2-3/,847280,5,1590696912,1590696912.375
52.52.174.26,170010,/zqwMagicBean:2.1.2/,847280,5,1590696918,1590696918.621
118.244.204.223,170010,/MagicBean:2.1.2-1/,847280,5,1590696919,1590696919.871
192.99.230.93,170009,/MagicBean:2.1.1-1/,847280,5,1590696920,1590696920.370
172.105.73.103,170009,/MagicBean:2.1.1-1/,847280,5,1590696932,1590696932.319
80.84.57.38,170009,/MagicBean:2.1.1-1/,847280,5,1590696932,1590696932.836
71.88.207.47,170009,/MagicBean:2.1.1-1/,847280,5,1590696940,1590696940.316
82.196.7.218,170010,/MagicBean:2.1.2-3/,847280,5,1590696942,1590696942.384
51.89.96.119,170010,/MagicBean:2.1.2-3/,847280,5,1590696942,1590696942.916
18.191.160.176,170009,/MagicBean:2.1.1-1/,847280,5,1590696943,1590696943.556
78.129.149.90,170010,/zqwMagicBean:2.1.2/,847280,5,1590696924,1590696944.021
78.46.73.181,170011,/MagicBean:3.0.0-rc1/,847280,5,1590696944,1590696944.535
142.93.53.185,170010,/MagicBean:2.1.2-3/,847280,5,1590696945,1590696945.242
5.133.65.82,170011,/MagicBean:3.0.0/,847281,5,1590696945,1590696945.739
167.172.43.123,170009,/MagicBean:2.1.0-1/,300383,5,1590696947,1590696947.857
45.77.207.1,170009,/MagicBean:2.1.1-1/,847281,5,1590696953,1590696953.095
24.5.47.53,170009,/MagicBean:2.1.1-1/,847281,5,1590696971,1590696971.365
188.72.203.154,170009,/MagicBean:2.1.1-1/,847281,5,1590696977,1590696977.248
178.62.222.98,170009,/MagicBean:2.1.1-1/,847281,5,1590696977,1590696977.774
148.72.155.96,170010,/MagicBean:2.1.2/,847281,5,1590696978,1590696978.931
119.23.67.66,170010,/MagicBean:2.1.2-1/,847281,5,1590696985,1590696986.047
88.99.191.169,170009,/MagicBean:2.1.1-1/,847281,5,1590696986,1590696986.449
141.20.33.71,170011,/MagicBean:3.0.0-rc1/,847281,5,1590696997,1590696997.990
35.173.127.89,170009,/MagicBean:2.1.1-1(bitcore)/,847281,5,1590696998,1590696998.617
94.156.174.100,170009,/MagicBean:2.1.1-1/,847281,5,1590696999,1590696999.176
45.227.252.247,170009,/MagicBean:2.1.1-1/,847281,5,1590697017,1590697017.158
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,847281,5,1590697017,1590697017.339
144.91.68.191,170009,/MagicBean:2.1.1-1/,847281,5,1590697024,1590697024.036
167.99.86.56,170009,/MagicBean:2.1.1-1/,847281,5,1590697024,1590697024.510
173.212.214.223,170009,/MagicBean:2.1.1-1/,847281,5,1590697030,1590697030.544
178.63.71.183,170009,/MagicBean:2.1.1-1/,847281,5,1590697031,1590697031.082
139.59.128.41,170010,/MagicBean:2.1.2/,847281,5,1590697037,1590697037.592
104.195.200.141,170010,/MagicBean:2.1.2/,847281,5,1590697056,1590697056.943
3.23.112.242,170009,/MagicBean:2.1.1-1/,847281,5,1590697057,1590697057.521
194.135.81.61,170009,/MagicBean:2.1.1-1/,847281,5,1590697057,1590697058.002
139.196.121.177,170010,/MagicBean:2.1.2/,847281,5,1590697058,1590697058.891
82.64.95.124,170010,/MagicBean:2.1.2-3/,847281,5,1590697059,1590697059.221
46.165.230.156,170010,/MagicBean:2.1.2-3/,847281,5,1590697065,1590697065.752
47.252.1.134,170010,/MagicBean:2.1.2/,847283,5,1590697094,1590697094.408
167.86.124.94,170009,/MagicBean:2.1.1-1/,847283,5,1590697111,1590697111.516
18.188.77.116,170009,/MagicBean:2.1.1-1/,847284,5,1590697159,1590697159.954
78.27.139.13,170011,/MagicBean:3.0.0/,847285,5,1590697180,1590697180.482
159.89.147.156,170009,/MagicBean:2.1.1-1/,847287,5,1590697316,1590697316.141
51.75.146.76,170010,/MagicBean:2.1.2-3/,847301,5,1590697988,1590697988.989
51.77.64.61,170010,/MagicBean:2.1.2-1/,847301,5,1590698092,1590698092.641
209.141.47.197,170011,/MagicBean:3.0.0/,847304,5,1590698293,1590698293.314
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,847307,5,1590698571,1590698571.073
116.203.188.195,170010,/MagicBean:2.1.2-3/,847310,5,1590698908,1590698908.697
18.220.47.120,170009,/MagicBean:2.1.1-1/,847310,5,1590698970,1590698970.635
47.57.153.116,170010,/MagicBean:2.1.2-3/,847311,5,1590699246,1590699246.605
120.78.209.151,170010,/MagicBean:2.1.2/,847312,5,1590699434,1590699434.109
176.57.55.43,170010,/MagicBean:2.1.2-3/,847315,5,1590699622,1590699622.135
138.68.51.208,170011,/MagicBean:3.0.0/,847317,5,1590699783,1590699783.598
18.222.216.71,170009,/MagicBean:2.1.1-1/,847318,5,1590699878,1590699878.078
138.197.106.225,170010,/MagicBean:2.1.2-3/,847321,5,1590700034,1590700034.059
34.90.231.182,170010,/MagicBean:2.1.2/,847323,5,1590700207,1590700207.272
3.92.199.184,170009,/MagicBean:2.1.1-1(bitcore)/,847326,5,1590700525,1590700525.390
136.37.43.66,170010,/MagicBean:2.1.2-3/,847327,5,1590700674,1590700674.849
195.201.60.233,170010,/zqwMagicBean:2.1.2/,847328,5,1590700762,1590700762.141
94.130.239.15,170010,/MagicBean:2.1.2/,847338,5,1590701165,1590701166.004
47.90.244.88,170010,/MagicBean:2.1.2/,847343,5,1590701337,1590701337.492
88.208.3.195,170009,/MagicBean:2.1.1-1/,847345,5,1590701750,1590701750.434
47.94.92.186,170009,/MagicBean:2.1.1-1/,847345,5,1590701776,1590701776.352
47.254.176.240,170009,/MagicBean:2.1.1-1/,847346,5,1590702020,1590702020.197
3.22.172.166,170009,/MagicBean:2.1.1-1/,847353,5,1590702456,1590702456.636
52.194.192.91,170010,/MagicBean:2.1.2-3/,847371,5,1590703195,1590703195.870
34.87.37.112,170009,/MagicBean:2.1.1-1/,847374,5,1590703461,1590703461.716
173.249.53.153,170009,/MagicBean:2.1.1-1/,847385,5,1590704589,1590704589.842
89.234.183.220,170009,/MagicBean:2.1.1-1/,847393,5,1590705662,1590705662.980
47.92.134.60,170010,/MagicBean:2.1.2-1/,847395,5,1590705852,1590705852.348
51.68.5.144,170010,/zqwMagicBean:2.1.2/,847399,5,1590706116,1590706121.474
5.9.7.62,170009,/MagicBean:2.1.1-1/,847399,5,1590706277,1590706277.986
213.227.145.69,170010,/MagicBean:2.1.2-3/,847411,5,1590707269,1590707269.872
46.4.192.189,170009,/MagicBean:2.1.1-1/,847411,5,1590707297,1590707297.266
118.24.175.14,170009,/MagicBean:2.1.1-1/,847416,5,1590707505,1590707505.317
62.210.91.14,170010,/zqwMagicBean:2.1.2/,847419,5,1590707684,1590707684.776
193.42.110.30,170011,/MagicBean:3.0.0/,847424,5,1590708102,1590708102.799
84.213.4.115,170010,/MagicBean:2.1.2-3/,847434,5,1590709050,1590709050.978
149.56.135.165,170010,/MagicBean:2.1.2/,847434,5,1590709058,1590709058.133
35.238.100.203,170010,/MagicBean:2.1.2/,847435,5,1590709182,1590709182.910
18.224.34.216,170009,/MagicBean:2.1.1-1/,847446,5,1590709705,1590709705.323
108.51.198.189,170009,/MagicBean:2.1.1-1/,847455,5,1590710011,1590710011.445
138.201.244.90,170011,/MagicBean:3.0.0/,847461,5,1590710669,1590710669.964
52.30.69.116,170010,/MagicBean:2.1.2-3/,847463,5,1590710736,1590710736.045
91.213.203.68,170009,/MagicBean:2.1.1-1/,847468,5,1590711311,1590711311.919
13.231.145.68,170009,/MagicBean:2.1.1-1/,847469,5,1590711382,1590711382.269
163.172.222.30,170009,/MagicBean:2.1.1-1/,847511,5,1590714096,1590714096.524
37.59.32.10,170010,/MagicBean:2.1.2-3/,847514,5,1590714481,1590714481.114
47.244.97.2,170010,/MagicBean:2.1.2/,847516,5,1590714839,1590714840.115
93.104.213.142,170009,/MagicBean:2.1.1-1/,847516,5,1590714856,1590714856.580
37.187.74.101,170010,/MagicBean:2.1.2/,847523,5,1590715337,1590715337.498
35.221.131.27,170010,/MagicBean:2.1.2/,847535,5,1590716037,1590716037.874
149.28.197.86,170009,/MagicBean:2.1.1-1/,847547,5,1590716739,1590716739.576
3.15.223.4,170009,/MagicBean:2.1.1-1/,847557,5,1590717581,1590717581.552
91.152.122.170,170010,/MagicBean:2.1.2-1/,847558,5,1590717478,1590717707.324
39.106.140.217,170010,/MagicBean:2.1.2/,847558,5,1590717830,1590717830.366
35.246.238.163,170009,/MagicBean:2.1.1-1/,847560,5,1590718503,1590718503.561
47.106.224.223,170010,/MagicBean:2.1.2/,847568,5,1590719374,1590719374.980
164.132.122.137,170010,/MagicBean:2.1.2/,847571,5,1590719524,1590719524.136
139.99.123.157,170010,/MagicBean:2.1.2-3/,847576,5,1590719680,1590719680.318
107.191.35.66,170009,/MagicBean:2.1.1-1/,847582,5,1590719868,1590719868.710
159.69.57.170,170009,/MagicBean:2.1.1-1/,847605,5,1590721411,1590721411.147
18.182.25.219,170009,/MagicBean:2.1.1-1/,847610,5,1590721745,1590721745.895
188.113.118.31,170011,/MagicBean:3.0.0/,847614,5,1590722029,1590722029.930
74.213.232.247,170011,/MagicBean:3.0.0/,847616,5,1590722223,1590722230.216
47.198.214.50,170011,/MagicBean:3.0.0/,847641,5,1590724077,1590724077.525
3.19.66.87,170009,/MagicBean:2.1.1-1/,847658,5,1590725319,1590725319.700
3.112.252.179,170009,/MagicBean:2.1.1-1/,847674,5,1590726544,1590726545.058
104.195.200.141,170010,/MagicBean:2.1.2/,847674,5,1590726624,1590726624.464
188.166.173.215,170009,/MagicBean:2.1.1-1(bitcore)/,847676,5,1590726837,1590726837.634
107.20.83.62,170010,/MagicBean:2.1.2/,847693,5,1590728430,1590728430.291
198.187.30.208,170009,/MagicBean:2.1.1-1/,847694,5,1590728485,1590728484.054
54.38.81.80,170009,/MagicBean:2.1.1-1/,847699,5,1590729127,1590729127.496
88.198.54.11,170010,/MagicBean:2.1.2-3/,847709,5,1590729865,1590729865.555
35.198.119.137,170009,/MagicBean:2.1.1-1/,847721,5,1590730397,1590730397.047
47.100.175.51,170009,/MagicBean:2.1.1-1/,847723,5,1590730561,1590730561.238
162.217.231.179,170010,/MagicBean:2.1.2/,847785,5,1590735479,1590735479.530
167.172.43.123,170009,/MagicBean:2.1.0-1/,7608,5,1590735644,1590735644.956
88.99.37.232,170011,/MagicBean:3.0.0/,848063,5,1590756981,1590756981.687
35.198.119.137,170011,/MagicBean:3.0.0/,848063,5,1590756983,1590756983.198
13.231.145.68,170011,/MagicBean:3.0.0/,848073,5,1590757692,1590757693.096
34.87.37.112,170011,/MagicBean:3.0.0/,848073,5,1590757703,1590757704.080
3.112.252.179,170010,/MagicBean:2.1.2-3/,848083,5,1590758088,1590758088.594
35.246.238.163,170011,/MagicBean:3.0.0/,848083,5,1590758163,1590758163.663
47.94.92.186,170011,/MagicBean:3.0.0/,848088,5,1590758415,1590758415.184
34.66.191.95,170011,/MagicBean:3.0.0/,848101,5,1590759322,1590759322.753
80.84.57.38,170010,/MagicBean:2.1.2-3/,848107,5,1590759759,1590759759.883
199.217.115.27,170010,/MagicBean:2.1.2-3/,848107,5,1590759780,1590759780.758
52.194.192.91,170010,/MagicBean:2.1.2-3/,848117,5,1590760178,1590760178.900
47.254.176.240,170011,/MagicBean:3.0.0/,848144,5,1590762246,1590762246.413
95.217.36.126,170011,/MagicBean:3.0.0/,848147,5,1590762518,1590762518.940
5.9.7.62,170011,/MagicBean:3.0.0/,848147,5,1590762663,1590762663.710
94.156.174.100,170011,/MagicBean:3.0.0/,848148,5,1590762852,1590762852.067
162.14.4.106,170011,/MagicBean:3.0.0/,848151,5,1590763020,1590763020.900
195.201.11.122,170010,/MagicBean:2.1.2/,848162,5,1590763675,1590763675.831
195.154.199.185,170010,/MagicBean:2.1.2/,848178,5,1590764870,1590764870.028
51.68.5.144,170010,/zqwMagicBean:2.1.2/,848195,5,1590765902,1590765972.781
88.208.57.212,170010,/MagicBean:2.1.2/,848205,5,1590766867,1590766867.526
194.135.81.61,170011,/MagicBean:3.0.0/,848245,5,1590769824,1590769824.373
35.173.127.89,170011,/MagicBean:3.0.0(bitcore)/,848267,5,1590771627,1590771627.722
3.92.199.184,170011,/MagicBean:3.0.0(bitcore)/,848276,5,1590772301,1590772301.505
213.239.201.46,170011,/MagicBean:3.0.0/,848312,5,1590774735,1590774735.694
80.66.158.115,170010,/zqwMagicBean:2.1.2/,848348,5,1590777495,1590777497.197
212.158.160.111,170009,/MagicBean:2.1.1-1/,66830,5,1590783279,1590783279.734
34.67.71.42,170010,/MagicBean:2.1.2/,848487,5,1590788301,1590788301.296
34.67.71.42,170010,/MagicBean:2.1.2/,848519,5,1590790660,1590790660.138
47.93.198.249,170011,/MagicBean:3.0.0/,848528,5,1590791430,1590791431.006
34.67.71.42,170010,/MagicBean:2.1.2/,848531,5,1590791534,1590791534.841
34.67.71.42,170010,/MagicBean:2.1.2/,848544,5,1590792211,1590792211.598
34.67.71.42,170010,/MagicBean:2.1.2/,848572,5,1590794225,1590794225.599
46.246.63.66,170011,/MagicBean:3.0.0/,848577,5,1590794521,1590794521.964
192.64.112.23,170011,/MagicBean:3.0.0/,435865,5,1590797790,1590797790.969
80.242.124.21,170010,/MagicBean:2.1.2-3/,848639,5,1590799934,1590799934.556
167.172.43.123,170009,/MagicBean:2.1.0-1/,2397,5,1590800380,1590800380.929
159.65.98.117,170011,/MagicBean:3.0.0/,848679,5,1590802320,1590802320.150
188.165.43.210,170010,/MagicBean:2.1.2-3/,848711,5,1590805248,1590805248.944
45.77.207.1,170011,/MagicBean:3.0.0/,848757,5,1590808522,1590808522.951
51.68.5.144,170010,/zqwMagicBean:2.1.2/,848776,5,1590809842,1590809870.937
24.5.47.53,170011,/MagicBean:3.0.0/,848848,5,1590814598,1590814598.574
18.219.32.5,170011,/MagicBean:3.0.0/,848942,5,1590822557,1590822557.983
18.182.25.219,170011,/MagicBean:3.0.0/,848974,5,1590824531,1590824532.065
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,848982,5,1590825254,1590825254.588
173.255.198.125,170010,/MagicBean:2.1.2-3/,849033,5,1590829304,1590829304.629
95.216.46.146,170011,/MagicBean:3.0.0/,849167,5,1590839144,1590839144.719
47.93.198.249,170011,/MagicBean:3.0.0/,1533,5,1590840661,1590840661.554
173.212.197.63,170011,/MagicBean:3.0.0/,849238,5,1590845306,1590845306.321
212.158.160.111,170009,/MagicBean:2.1.1-1/,374957,5,1590847042,1590847042.275
185.59.101.51,170010,/MagicBean:2.1.2-1/,849284,5,1590847818,1590847818.243
3.91.227.122,170011,/MagicBean:3.0.0(bitcore)/,849358,5,1590853741,1590853741.331
51.68.5.144,170010,/zqwMagicBean:2.1.2/,849358,5,1590853743,1590853770.493
167.99.86.56,170011,/MagicBean:3.0.0/,849362,5,1590854190,1590854190.916
116.202.170.226,170011,/MagicBean:3.0.0/,849476,5,1590862262,1590862262.515
18.219.32.5,170011,/MagicBean:3.0.0/,849521,5,1590865964,1590865964.989
47.100.175.51,170011,/MagicBean:3.0.0/,849549,5,1590867671,1590867671.495
64.227.44.6,170010,/MagicBean:2.1.2-3/,783484,5,1590875410,1590875410.188
64.227.44.6,170010,/MagicBean:2.1.2-3/,800929,5,1590876076,1590876076.092
64.227.44.6,170010,/MagicBean:2.1.2-3/,815683,5,1590876858,1590876858.026
64.227.44.6,170010,/MagicBean:2.1.2-3/,847472,5,1590878132,1590878132.730
64.227.44.6,170010,/MagicBean:2.1.2-3/,849696,5,1590879017,1590879017.490
64.227.44.6,170010,/MagicBean:2.1.2-3/,849708,5,1590879870,1590879870.550
167.172.43.123,170009,/MagicBean:2.1.0-1/,67064,5,1590881256,1590881256.290
64.227.44.6,170010,/MagicBean:2.1.2-3/,849738,5,1590882460,1590882460.495
173.255.198.125,170011,/MagicBean:3.0.0/,849754,5,1590883439,1590883439.442
64.227.44.6,170010,/MagicBean:2.1.2-3/,849755,5,1590883570,1590883570.344
64.227.44.6,170010,/MagicBean:2.1.2-3/,849761,5,1590884668,1590884668.303
64.227.44.6,170010,/MagicBean:2.1.2-3/,849773,5,1590885492,1590885492.181
64.227.44.6,170010,/MagicBean:2.1.2-3/,849801,5,1590886840,1590886840.400
64.227.44.6,170010,/MagicBean:2.1.2-3/,849827,5,1590889185,1590889185.419
64.227.44.6,170010,/MagicBean:2.1.2-3/,849972,5,1590900151,1590900151.237
47.93.97.78,170011,/MagicBean:3.0.0/,849990,5,1590901123,1590901124.049
188.166.173.215,170011,/MagicBean:3.0.0(bitcore)/,850130,5,1590911385,1590911385.191
198.187.30.208,170011,/MagicBean:3.0.0/,850209,5,1590917726,1590917724.118
18.222.89.175,170011,/MagicBean:3.0.0/,850555,5,1590943803,1590943803.583
167.172.43.123,170009,/MagicBean:2.1.0-1/,17516,5,1590944835,1590944835.322
193.70.38.148,170010,/MagicBean:2.1.2-3/,850709,5,1590956042,1590956042.519
193.70.38.148,170010,/MagicBean:2.1.2-3/,850731,5,1590957790,1590957790.042
178.63.71.183,170011,/MagicBean:3.0.0/,850774,5,1590960879,1590960879.836
193.70.38.148,170010,/MagicBean:2.1.2-3/,850859,5,1590966285,1590966285.332
74.213.232.247,170011,/MagicBean:3.0.0/,850859,5,1590966406,1590966408.946
193.70.38.148,170010,/MagicBean:2.1.2-3/,850868,5,1590967036,1590967036.834
148.72.155.96,170011,/MagicBean:3.0.0/,850882,5,1590968125,1590968125.808
64.137.174.58,170011,/MagicBean:3.0.0/,850925,5,1590971893,1590971843.287
51.68.5.144,170010,/zqwMagicBean:2.1.2/,850981,5,1590976112,1590976162.190
162.217.231.179,170010,/MagicBean:2.1.2/,851021,5,1590979395,1590979396.097
47.92.134.60,170011,/MagicBean:3.0.0/,851035,5,1590980411,1590980411.960
82.64.17.18,170011,/MagicBean:3.0.0(bitcore)/,851043,5,1590980875,1590980875.864
212.237.100.181,170011,/MagicBean:3.0.0/,851085,5,1590983719,1590983719.326
47.93.97.78,170011,/MagicBean:3.0.0/,6770,5,1590986042,1590986042.872
119.23.67.66,170011,/MagicBean:3.0.0/,851271,5,1590998307,1590998307.814
47.93.97.78,170011,/MagicBean:3.0.0/,224,5,1590998696,1590998696.197
47.93.97.78,170011,/MagicBean:3.0.0/,966,5,1590999868,1590999868.570
199.217.115.27,170010,/MagicBean:2.1.2-3/,851332,5,1591005610,1591005610.410
47.93.97.78,170011,/MagicBean:3.0.0/,345465,5,1591008238,1591008238.530
46.4.192.189,170011,/MagicBean:3.0.0/,851438,5,1591009683,1591009683.973
167.172.43.123,170009,/MagicBean:2.1.0-1/,28940,5,1591009886,1591009886.918
47.93.97.78,170011,/MagicBean:3.0.0/,344638,5,1591011802,1591011803.071
47.94.251.211,170011,/MagicBean:3.0.0/,851496,5,1591013884,1591013884.970
193.70.38.148,170010,/MagicBean:2.1.2-3/,851517,5,1591015944,1591015944.246
193.70.38.148,170010,/MagicBean:2.1.2-3/,851525,5,1591016586,1591016586.050
193.70.38.148,170010,/MagicBean:2.1.2-3/,851529,5,1591017190,1591017190.275
193.70.38.148,170010,/MagicBean:2.1.2-3/,851542,5,1591018062,1591018062.313
107.191.35.66,170011,/MagicBean:3.0.0/,851543,5,1591018080,1591018080.937
193.70.38.148,170010,/MagicBean:2.1.2-3/,851551,5,1591018703,1591018703.805
51.68.5.144,170010,/zqwMagicBean:2.1.2/,851570,5,1591020120,1591020171.147
47.93.97.78,170011,/MagicBean:3.0.0/,417193,5,1591023748,1591023748.163
3.21.163.242,170011,/MagicBean:3.0.0/,851614,5,1591024249,1591024249.518
193.70.38.148,170010,/MagicBean:2.1.2-3/,851667,5,1591027848,1591027848.249
47.93.97.78,170011,/MagicBean:3.0.0/,444816,5,1591028790,1591028791.037
3.15.217.235,170011,/MagicBean:3.0.0/,851679,5,1591028858,1591028858.583
193.70.38.148,170010,/MagicBean:2.1.2-3/,851693,5,1591029731,1591029731.471
51.79.57.29,170011,/MagicBean:3.0.0/,851750,5,1591033665,1591033665.510
74.213.232.247,170011,/MagicBean:3.0.0/,851750,5,1591033667,1591033667.694
78.27.139.13,170011,/MagicBean:3.0.0/,851760,5,1591034251,1591034251.168
193.70.38.148,170010,/MagicBean:2.1.2-3/,851826,5,1591039196,1591039196.466
47.93.97.78,170011,/MagicBean:3.0.0/,456102,5,1591040028,1591040028.766
217.71.218.198,170011,/MagicBean:3.0.0/,851847,5,1591040736,1591040736.673
193.70.38.148,170010,/MagicBean:2.1.2-3/,851856,5,1591041322,1591041322.075
193.70.38.148,170010,/MagicBean:2.1.2-3/,851870,5,1591042091,1591042091.720
193.70.38.148,170010,/MagicBean:2.1.2-3/,851907,5,1591045440,1591045440.870
193.70.38.148,170010,/MagicBean:2.1.2-3/,851910,5,1591046065,1591046065.545
47.93.97.78,170011,/MagicBean:3.0.0/,529038,5,1591046130,1591046130.561
47.93.97.78,170011,/MagicBean:3.0.0/,520576,5,1591053953,1591053953.788
47.93.17.158,170011,/MagicBean:3.0.0/,852055,5,1591056927,1591056927.140
212.158.160.111,170011,/MagicBean:3.0.0/,852060,5,1591057411,1591057411.306
193.70.38.148,170010,/MagicBean:2.1.2-3/,852082,5,1591058607,1591058607.417
193.70.38.148,170010,/MagicBean:2.1.2-3/,852089,5,1591059234,1591059234.476
193.70.38.148,170010,/MagicBean:2.1.2-3/,852099,5,1591059963,1591059963.975
